Material Code,Description,Plant,Unit,Price,Stock
MAT-1001,Steel Rod 12mm TMT,1000,EA,250.00,5000
MAT-1002,Steel Rod 16mm TMT,1000,EA,320.00,3200
MAT-1003,Cement OPC 53 Grade 50kg,1000,BAG,410.00,1800
MAT-1004,PVC Pipe 4 inch 3m,1100,EA,185.50,900
MAT-1005,Copper Wire 2.5sqmm 90m Coil,1100,COIL,1250.00,150
MAT-1006,Plywood Sheet 8x4 18mm,1200,SHT,1899.00,300
MAT-1007,Ceramic Floor Tile 600x600,1200,BOX,540.00,45
MAT-1008,LED Panel Light 24W,1100,EA,420.00,1200
MAT-1009,Paint Emulsion White 20L,1200,CAN,3100.00,220
MAT-1010,Door Hinge SS 5 inch,1000,SET,95.00,8000
